No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
4159;LVIN;-;-;-;-;-;-;-;-;-;-;-;-;-;27.38;0.00%;0
4160;LVL;-;-;-;-;-;-;-;-;-;-;-;-;-;11.05;0.09%;113
4161;LVS;47.66B;14.64;16.63;2.09;3.53;6.67;10.96;43.37;37.00%;2.34%;9.30%;7.01%;3.00%;60.54;0.13%;1,280,786
4162;LVUS;-;-;-;-;-;-;-;-;-;-;-;-;-;29.09;0.00%;0
4163;LW;9.72B;28.70;20.65;2.77;2.84;-;174.80;151.38;4.50%;8.32%;2.50%;10.35%;4.30%;66.89;0.69%;203,984
4164;LWAY;49.42M;-;-;-;0.45;1.04;13.73;-;-120.90%;-;-16.30%;10.00%;7.90%;3.06;2.34%;11,786
4165;LX;1.67B;20.17;5.93;3.47;1.79;4.85;26.04;-;111.70%;59.67%;-;5.81%;-;10.16;-2.59%;96,060
4166;LXFR;621.30M;42.34;14.71;3.77;1.30;3.50;109.00;28.50;-75.20%;13.33%;-43.70%;11.23%;-2.90%;23.44;-1.31%;118,014
4167;LXFT;1.59B;30.01;15.49;5.07;1.75;3.52;15.66;26.75;-12.60%;31.78%;5.30%;5.92%;23.60%;48.05;-1.33%;54,925
4168;LXP;1.96B;146.43;26.45;29.29;4.81;1.74;26.03;-;-12.70%;158.33%;-18.90%;5.00%;5.70%;8.21;0.12%;362,245
4169;LXRX;1.19B;-;-;-;12.04;-;5.68;-;7.20%;97.80%;4.30%;-;142.00%;11.44;4.00%;244,523
4170;LXU;285.92M;-;65.93;-;0.74;0.70;6.06;-;42.40%;112.10%;-26.40%;12.00%;-10.80%;9.86;-0.30%;66,905
4171;LYB;40.35B;8.20;9.20;1.01;1.07;3.85;12.16;15.77;11.60%;-2.71%;15.50%;8.10%;-5.30%;104.75;0.38%;1,017,062
4172;LYG;57.75B;11.74;9.53;-;2.69;0.91;0.43;-;49.50%;-10.53%;32.80%;-3.50%;-7.40%;3.19;-1.39%;14,132,816
4173;LYL;16.41M;82.35;-;-;3.82;1.33;1.91;-;-88.50%;-;-;-;-;1.50;7.34%;5,657
4174;LYTS;119.51M;-;9.94;-;0.35;0.87;37.35;41.21;-568.90%;28.77%;-10.69%;25.00%;4.00%;4.63;-0.86%;27,840
4175;LYV;10.98B;-;161.69;-;1.05;9.54;4.79;49.96;-221.70%;1642.11%;3.00%;-;12.20%;53.75;0.42%;534,909
4176;LZB;1.49B;16.49;14.59;2.11;0.93;2.43;9.98;23.72;3.20%;10.20%;16.00%;7.80%;4.50%;32.00;0.00%;80,803
4177;M;10.69B;9.78;9.67;-;0.42;1.81;10.01;10.14;59.70%;-11.48%;-0.40%;-0.77%;-2.10%;34.60;-0.42%;2,935,895
4178;MA;229.33B;42.64;29.51;1.89;16.43;43.92;29.61;48.84;18.70%;16.97%;14.80%;22.57%;11.10%;221.62;0.12%;1,133,861
4179;MAA;11.39B;33.40;45.55;4.77;7.38;1.83;349.40;-;6.30%;14.87%;15.80%;7.00%;26.30%;100.81;0.17%;198,220
4180;MAB;21.86M;-;-;-;13.66;0.81;27.32;-;-120.50%;-;-;-;-;12.27;-0.65%;1,000
4181;MAC;7.77B;207.08;64.89;986.09;8.00;2.54;83.96;-;-68.00%;74.95%;-11.20%;0.21%;4.50%;55.68;0.71%;193,081
4182;MACK;71.22M;-;-;-;-;1.13;1.19;-;66.30%;1.80%;20.20%;5.60%;-;5.30;0.76%;31,515
4183;MAG;693.47M;-;-;-;-;3.16;-;-;88.80%;50.00%;18.00%;-;-;8.12;1.12%;121,556
4184;MAGA;-;-;-;-;-;-;-;-;-;-;-;-;-;28.73;-0.09%;253
4185;MAGS;130.40M;-;-;-;2.03;1.59;3.02;-;-598.20%;-;-25.50%;-;-3.70%;5.64;-0.27%;8,058
4186;MAIN;2.37B;12.52;15.05;1.79;10.60;1.62;58.49;-;10.90%;2.28%;-3.50%;7.00%;17.80%;38.96;-0.57%;132,382
4187;MAMS;99.75M;17.07;22.09;-;2.89;6.84;23.75;20.78;-12.90%;-5.40%;7.60%;-;5.40%;7.77;0.49%;2,442
4188;MAN;5.53B;11.11;9.68;2.10;0.25;2.03;7.21;17.79;10.00%;3.06%;22.80%;5.30%;0.30%;85.25;-0.28%;236,606
4189;MANH;3.75B;36.22;41.78;2.41;6.58;28.90;44.93;24.65;-3.70%;-15.42%;21.00%;15.00%;9.60%;56.59;0.41%;212,173
4190;MANT;2.43B;33.72;26.85;22.91;1.31;1.79;337.07;65.24;10.30%;12.48%;-8.80%;1.47%;-7.80%;62.80;1.00%;36,795
4191;MANU;3.87B;56.90;1.88;8.76;4.72;6.34;18.03;-;7.60%;186.60%;-60.00%;6.50%;12.70%;23.28;-2.58%;36,153
4192;MAR;45.63B;21.60;20.25;1.24;2.08;16.20;124.68;34.08;95.40%;9.35%;24.60%;17.42%;14.10%;129.66;-0.45%;609,486
4193;MARA;18.43M;-;-;-;18.43;1.99;4.01;-;36.40%;-;-3.90%;50.00%;-;0.72;-4.78%;708,207
4194;MARK;110.34M;-;-;-;1.46;-;14.15;-;-129.70%;-34.10%;-31.10%;-;169.00%;3.17;-2.46%;236,486
4195;MARPS;8.95M;10.65;-;-;8.95;8.31;8.95;89.54;6.10%;-;-27.70%;-;-25.40%;4.07;0.00%;0
4196;MAS;11.63B;20.55;13.03;1.39;1.45;-;30.28;20.77;9.30%;15.56%;64.90%;14.77%;0.40%;37.39;-0.95%;854,403
4197;MASI;6.43B;33.28;40.72;2.80;7.63;7.80;14.98;40.54;-33.60%;4.50%;28.60%;11.90%;10.10%;124.00;0.15%;309,106
4198;MAT;5.53B;-;73.39;-;1.17;8.29;24.20;-;-466.80%;124.40%;-28.60%;10.00%;-5.30%;16.05;0.31%;888,151
4199;MATW;1.62B;23.21;11.65;-;1.02;1.89;30.11;16.25;12.60%;8.18%;3.20%;-10.00%;11.00%;49.60;-0.40%;58,248
4200;MATX;1.63B;17.84;15.24;1.19;0.77;2.35;127.22;-;-3.70%;7.27%;7.90%;15.00%;5.60%;38.64;0.47%;55,027
4201;MAV;-;-;-;-;-;-;-;-;-;-;-;-;-;10.78;0.00%;59,964
4202;MAXR;2.04B;20.07;6.99;3.87;1.01;0.96;-;-;15.40%;4.00%;2.61%;5.18%;-;34.38;-1.38%;228,581
4203;MAYS;72.94M;58.20;-;-;3.76;1.42;-;66.31;26.90%;-;8.70%;-;3.40%;37.80;0.53%;1
4204;MB;2.07B;-;758.93;-;9.78;7.04;6.35;-;45.90%;150.00%;8.10%;25.00%;41.70%;42.92;1.00%;365,835
4205;MBB;-;-;-;-;-;-;-;-;-;-;-;-;-;102.97;-0.10%;212,877
4206;MBFI;4.03B;19.97;14.29;2.50;5.63;1.45;3.86;10.13;6.20%;22.18%;7.20%;8.00%;14.90%;47.46;0.30%;115,087
4207;MBG;-;-;-;-;-;-;-;-;-;-;-;-;-;25.11;-0.09%;1,776
4208;MBI;1.04B;-;-;-;2.24;0.92;5.27;-;-431.00%;37.10%;-32.80%;10.00%;-26.00%;11.35;-0.66%;204,148
4209;MBII;222.47M;-;-;-;12.64;9.60;9.55;-;16.20%;41.20%;36.60%;-;20.50%;1.93;0.52%;83,876
4210;MBIO;159.03M;-;-;-;3180.60;3.08;3.41;-;-147.00%;-7.10%;-;-;-;5.65;-4.07%;38,662
